"collision_index","vehicle_reference","vehicle_type","vehicle_manoeuvre","junction_location","skidding_and_overturning","hit_object_in_carriageway","first_point_of_impact","sex_of_driver","age_of_driver","engine_capacity_cc","propulsion_code","age_of_vehicle"
"2025000000095",1,5,19,0,0,12,1,1,60,1731,1,10
"2025000000096",2,19,4,0,1,0,1,1,31,1997,2,4
"2025000000096",3,9,3,0,0,0,2,1,58,1997,2,6
"2025000000096",1,5,3,0,0,0,2,1,50,745,1,9
"2025000000097",2,3,19,0,1,0,1,1,25,125,1,10
"2025000000097",1,9,2,0,0,0,3,2,61,1461,2,13
"2025000000098",1,2,4,2,0,0,1,1,39,125,1,5
"2025000000099",2,9,19,0,0,0,0,1,68,-1,-1,-1
"2025000000099",3,9,19,0,0,0,0,1,60,1490,8,2
"2025000000099",1,5,13,0,5,0,1,2,41,890,1,1
"2025000000100",1,9,19,4,0,0,1,2,56,998,1,2
"2025000000100",2,1,19,8,0,0,4,2,65,-1,-1,-1
"2025000000101",2,19,10,1,0,0,3,1,44,1499,2,2
"2025000000101",1,9,7,5,0,0,1,2,43,1339,1,16
"2025000000102",1,9,19,0,0,0,1,1,33,1582,2,14
"2025000000102",2,9,4,0,0,0,2,2,22,898,1,4
"2025000000103",2,3,19,8,0,0,2,1,22,108,1,4
"2025000000103",1,9,9,6,0,0,1,1,28,1330,8,12
"2025000000104",2,9,19,8,0,0,3,1,86,2290,1,17
"2025000000104",1,9,19,8,0,0,1,1,33,1497,8,9
"2025000000105",1,9,9,8,0,0,3,3,52,1896,2,19
"2025000000105",2,1,19,1,0,0,1,1,59,-1,-1,-1
"2025000000106",1,19,19,1,0,0,1,1,22,1997,2,19
"2025000000106",2,9,7,1,0,0,3,2,53,-1,-1,-1
"2025000000107",2,9,19,0,0,0,4,2,22,999,1,6
"2025000000107",1,9,19,0,0,0,1,2,36,1896,2,16
"2025000000108",1,9,19,0,0,0,1,2,49,1390,1,12
"2025000000108",2,19,19,0,0,0,1,2,40,1560,2,8
"2025000000109",1,9,19,0,1,10,3,1,41,-1,-1,-1
"2025000000110",1,9,19,6,0,0,1,1,42,2457,1,14
"2025000000111",1,9,19,0,0,0,1,1,80,1198,1,5
"2025000000112",1,1,19,1,0,0,1,1,-1,-1,-1,-1
"2025000000112",2,9,19,8,0,0,0,2,44,1397,1,14
"2025000000113",2,1,19,8,0,0,3,1,53,-1,-1,-1
"2025000000113",1,9,7,5,0,0,1,1,34,-1,-1,-1
"2025000000114",2,9,3,4,0,0,4,2,67,2993,2,2
"2025000000114",1,9,4,3,0,0,0,2,63,1197,1,6
"2025000000115",1,9,19,0,0,0,1,2,85,1588,1,16
"2025000000116",2,9,19,1,0,0,1,3,-1,1598,1,11
"2025000000116",1,9,3,1,0,0,2,2,36,998,1,16
"2025000000117",1,1,12,1,0,0,3,3,-1,-1,-1,-1
"2025000000117",2,3,15,1,2,10,4,1,17,125,1,1
"2025000000118",2,9,99,9,9,99,1,2,37,1388,1,13
"2025000000118",1,20,19,1,0,0,9,3,-1,12419,2,2
"2025000000119",1,9,19,3,0,0,3,1,33,1598,1,16
"2025000000119",2,8,19,5,0,0,3,1,52,1798,8,9
"2025000000120",1,9,19,1,0,0,1,2,45,1390,1,15
"2025000000121",1,9,7,1,0,0,4,1,49,1199,1,1
"2025000000121",2,1,19,1,0,0,3,1,68,-1,-1,-1
"2025000000122",1,11,19,2,0,0,1,1,56,9360,2,17
"2025000000123",1,9,19,0,1,0,1,1,47,-1,-1,-1
"2025000000124",1,9,19,1,0,0,4,1,42,1496,2,5
"2025000000125",1,9,14,0,0,0,1,2,35,1200,1,6
"2025000000126",2,9,19,0,0,0,3,2,32,1997,1,14
"2025000000126",1,9,5,0,0,0,4,2,36,1797,8,7
"2025000000127",1,21,19,0,0,0,1,1,26,12902,2,5
"2025000000128",1,9,5,8,0,0,1,1,33,1598,2,10
"2025000000128",2,1,19,1,0,0,1,1,44,-1,-1,-1
"2025000000129",1,9,9,8,0,0,3,2,70,996,1,8
"2025000000129",2,5,14,8,0,0,1,1,27,883,1,2
"2025000000130",2,9,4,2,0,0,2,1,53,1968,2,17
"2025000000130",1,3,19,2,0,0,1,2,27,125,1,8
"2025000000131",1,9,4,4,0,0,1,3,-1,-1,-1,-1
"2025000000131",2,9,4,4,0,0,2,2,71,-1,3,1
"2025000000132",2,9,99,9,9,99,9,3,-1,898,1,5
"2025000000132",1,3,99,9,9,99,1,1,28,125,1,2
"2025000000133",1,11,19,0,0,12,1,2,29,-1,-1,-1
"2025000000134",1,9,19,0,0,0,1,1,61,2497,1,27
"2025000000135",3,9,10,1,0,0,2,2,-1,1560,2,6
"2025000000135",2,9,4,1,0,0,2,2,33,1560,2,9
"2025000000135",1,21,19,1,0,0,1,1,29,12777,2,5
"2025000000136",1,19,4,0,0,0,1,3,-1,-1,-1,-1
"2025000000136",2,19,3,0,0,0,2,1,29,1997,2,18
"2025000000137",2,97,7,1,0,0,4,1,15,-1,-1,-1
"2025000000137",1,9,4,1,0,0,1,2,87,-1,-1,-1
"2025000000138",1,5,19,2,0,0,1,1,60,600,1,23
"2025000000139",1,9,19,0,2,0,4,1,35,1995,2,12
"2025000000140",1,10,9,2,0,0,1,1,-1,2198,2,3
"2025000000141",1,11,3,4,0,0,0,1,43,6692,2,10
"2025000000141",2,9,12,4,0,0,0,1,32,1587,1,13
"2025000000142",1,9,19,4,0,0,1,2,85,1197,1,13
"2025000000142",2,1,9,8,0,0,1,1,73,-1,-1,-1
"2025000000143",1,-1,3,0,0,0,3,1,53,-1,-1,-1
"2025000000143",2,9,14,0,0,0,4,1,19,2171,1,19
"2025000000144",1,9,99,0,9,99,9,3,43,2995,8,13
"2025000000145",1,1,19,8,0,0,4,3,-1,-1,-1,-1
"2025000000146",1,11,19,0,0,5,1,1,44,9000,2,9
"2025000000147",2,19,2,2,0,0,1,3,-1,2198,2,11
"2025000000147",1,9,19,2,0,4,1,1,68,1995,1,20
"2025000000147",3,19,2,2,0,0,1,3,-1,1598,2,8
"2025000000148",1,9,19,0,0,0,4,1,24,1598,1,20
"2025000000149",2,11,19,0,0,0,1,1,49,4250,2,6
"2025000000149",1,9,19,0,0,0,1,2,22,1084,1,2
"2025000000150",1,9,19,0,0,0,1,1,44,1197,1,8
"2025000000150",2,9,19,0,0,0,2,1,28,1598,8,0
"2025000000151",1,9,5,6,0,0,1,2,53,-1,-1,-1
"2025000000151",2,1,19,8,0,0,4,1,19,-1,-1,-1
"2025000000152",1,9,1,0,0,0,3,1,84,1395,1,6
"2025000000153",1,9,5,0,0,0,1,2,33,999,1,0
"2025000000153",3,9,19,0,0,0,3,3,-1,1242,1,10
"2025000000153",2,9,19,0,0,4,4,2,49,1242,1,11
"2025000000154",2,19,99,0,9,99,1,1,-1,-1,-1,-1
"2025000000154",1,1,99,0,9,99,9,2,23,-1,-1,-1
"2025000000155",3,9,4,0,0,0,2,2,38,1477,8,1
"2025000000155",2,9,4,0,0,0,2,2,25,996,1,12
"2025000000155",1,9,19,0,0,0,1,1,41,2400,2,13
"2025000000156",1,9,12,0,0,0,2,2,37,1598,1,9
"2025000000156",2,5,19,0,5,0,1,1,47,1043,1,2
"2025000000157",1,9,19,0,0,0,4,3,-1,-1,-1,-1
"2025000000158",1,9,99,9,9,99,9,3,-1,-1,-1,-1
"2025000000159",2,1,19,1,0,0,4,1,63,-1,-1,-1
"2025000000159",1,19,9,2,0,0,1,1,22,2198,2,13
"2025000000160",1,11,7,2,0,0,0,2,60,6700,2,11
"2025000000161",2,9,9,8,0,0,2,1,32,998,1,2
"2025000000161",1,9,19,8,0,0,1,1,26,1968,2,11
"2025000000162",1,9,99,9,9,99,9,2,23,998,1,2
"2025000000162",2,11,19,9,9,99,2,1,36,6370,2,10
"2025000000163",1,9,19,0,0,0,4,2,47,1364,1,3
"2025000000164",1,3,99,9,9,99,1,1,27,124,1,5
"2025000000164",2,9,99,9,9,99,9,3,-1,1296,1,16
"2025000000165",1,9,19,1,0,0,4,3,-1,1796,1,5
"2025000000166",1,9,5,0,0,0,4,2,66,-1,-1,-1
"2025000000167",2,9,99,9,9,99,9,3,-1,898,1,5
"2025000000167",1,3,99,9,9,99,1,2,22,125,1,3
"2025000000168",2,9,19,0,0,0,1,1,23,-1,-1,-1
"2025000000168",1,9,19,0,0,0,1,1,41,2993,12,3
"2025000000169",2,9,19,7,1,0,3,2,22,1422,2,9
"2025000000169",1,9,19,1,0,0,1,1,43,-1,-1,-1
"2025000000170",2,21,19,0,0,0,1,1,42,12777,2,5
"2025000000170",1,9,19,0,0,0,1,2,39,1200,1,5
"2025000000171",2,9,9,5,0,0,4,1,39,2360,8,6
"2025000000171",1,9,19,8,0,0,1,2,29,1498,1,0
"2025000000172",2,9,19,0,0,0,1,1,49,-1,-1,-1
"2025000000172",1,9,19,0,1,0,4,1,38,1988,1,19
"2025000000173",1,9,19,2,0,0,4,2,64,1395,1,6
"2025000000174",2,9,9,1,0,0,1,1,47,1591,1,2
"2025000000174",1,19,19,2,0,0,1,1,33,2143,2,10
"2025000000175",2,9,19,8,0,10,1,3,-1,1597,2,3
"2025000000175",1,9,5,6,0,0,3,1,36,1499,1,6
"2025000000176",1,9,19,0,0,0,4,2,53,1398,1,6
"2025000000177",1,9,7,1,0,0,1,2,-1,1598,2,8
"2025000000178",1,19,19,0,5,0,1,1,34,1995,2,1
"2025000000179",2,9,9,0,0,0,3,1,65,2993,12,0
"2025000000179",1,5,13,0,0,0,1,2,27,599,1,23
"2025000000180",2,1,19,8,0,0,1,1,57,-1,-1,-1
"2025000000180",1,9,19,3,0,0,3,1,74,1591,1,9
"2025000000181",1,9,99,9,9,99,9,3,-1,-1,-1,-1
"2025000000182",1,9,9,8,0,0,4,2,30,998,1,12
"2025000000182",2,1,19,8,0,0,3,1,10,-1,-1,-1
"2025000000183",2,9,19,0,0,0,1,2,26,1198,1,9
"2025000000183",1,9,19,0,0,0,1,1,57,-1,-1,-1
"2025000000184",2,1,19,8,0,0,1,2,13,-1,-1,-1
"2025000000184",1,21,7,6,0,0,4,1,55,12742,2,3
"2025000000185",1,9,19,6,0,0,1,1,35,-1,-1,-1
"2025000000185",2,9,19,8,0,0,3,1,62,-1,-1,-1
"2025000000186",1,5,19,0,0,0,1,1,58,-1,-1,-1
"2025000000187",1,9,13,8,0,0,4,3,-1,2179,2,16
"2025000000187",2,9,-1,8,0,4,3,2,43,999,1,9
"2025000000187",3,9,2,2,0,0,2,3,-1,1598,2,8
"2025000000188",1,11,5,6,0,0,0,1,48,9000,2,10
"2025000000189",2,9,2,1,0,0,2,3,-1,-1,-1,-1
"2025000000189",1,1,19,1,0,0,1,1,51,-1,-1,-1
"2025000000190",2,9,99,9,9,99,9,1,37,1199,1,1
"2025000000190",1,1,99,9,9,99,9,2,25,-1,-1,-1
"2025000000191",2,9,99,9,9,99,9,3,-1,1798,8,7
"2025000000191",1,3,99,9,9,99,9,1,35,125,1,8
"2025000000192",1,19,19,0,5,0,1,1,24,-1,-1,-1
"2025000000193",2,9,19,0,0,0,2,1,41,1796,1,18
"2025000000193",1,9,19,0,0,0,1,1,35,1597,2,11
"2025000000194",2,9,14,0,0,0,0,2,25,1396,1,12
"2025000000194",1,11,5,0,0,0,0,1,46,4500,2,11
"2025000000195",1,9,19,0,0,0,4,3,-1,-1,-1,-1
"2025000000195",2,9,11,0,0,0,3,2,45,1461,2,9
"2025000000196",2,9,19,8,0,0,3,1,36,1968,2,11
"2025000000196",1,19,19,8,0,0,-1,3,-1,1461,2,6
"2025000000197",2,9,19,3,0,0,1,2,39,1390,1,18
"2025000000197",1,9,19,3,0,0,0,1,35,1395,8,5
"2025000000197",3,9,19,4,0,0,1,1,32,2979,1,8
"2025000000198",1,9,19,8,0,0,1,2,24,1197,1,7
"2025000000199",1,3,19,1,0,0,1,3,-1,-1,-1,-1
"2025000000200",1,1,99,9,0,99,9,1,39,-1,-1,-1
"2025000000200",2,9,99,9,0,99,9,3,-1,1332,1,2
"2025000000201",1,9,19,8,0,0,3,1,25,1390,1,12
"2025000000201",2,9,99,8,0,0,1,3,-1,-1,-1,-1
"2025000000202",2,9,99,9,9,99,9,3,-1,1229,1,11
"2025000000202",1,3,99,9,9,99,1,1,33,125,1,3
"2025000000203",1,9,5,4,0,0,3,1,47,1229,1,6
"2025000000203",2,1,19,8,0,0,1,1,48,-1,-1,-1
"2025000000204",2,19,7,2,0,0,3,1,38,1461,2,4
"2025000000204",1,3,13,2,0,0,1,1,19,125,1,6
"2025000000205",2,9,3,1,0,0,2,1,47,1797,8,7
"2025000000205",1,9,3,1,0,0,2,2,32,1560,2,8
"2025000000206",1,1,19,2,0,0,4,2,36,-1,-1,-1
"2025000000206",2,9,2,2,0,0,3,3,-1,1968,2,7
"2025000000207",2,9,9,2,0,0,1,1,62,1896,2,20
"2025000000207",1,9,19,1,0,0,1,1,50,2198,2,14
"2025000000208",2,9,19,0,0,0,1,1,22,-1,-1,-1
"2025000000208",1,9,19,0,0,0,2,2,38,-1,-1,-1
"2025000000209",1,9,14,0,0,0,1,1,27,1999,8,8
"2025000000210",2,9,-1,0,-1,-1,-1,1,63,-1,-1,-1
"2025000000210",1,9,-1,0,-1,-1,-1,1,22,1995,2,8
"2025000000211",2,9,19,0,0,0,1,1,66,898,1,8
"2025000000211",1,9,19,0,0,0,1,1,25,1998,1,7
"2025000000212",1,9,5,6,0,0,1,2,48,1498,1,7
"2025000000212",2,9,19,8,0,0,1,2,62,998,1,18
"2025000000213",1,98,5,7,0,0,1,1,-1,-1,-1,-1
"2025000000214",2,9,19,0,0,0,1,2,71,1596,1,13
"2025000000214",1,9,19,0,0,0,1,1,23,998,1,6
"2025000000215",1,9,19,8,0,10,3,1,27,1364,1,17
"2025000000215",2,9,19,8,0,0,3,1,20,998,1,6
"2025000000216",1,1,19,1,2,0,1,1,30,-1,-1,-1
"2025000000216",2,19,7,1,0,0,4,1,30,1995,2,3
"2025000000217",1,9,9,8,0,0,1,1,21,999,1,7
"2025000000217",2,9,19,8,0,0,1,2,30,1999,2,1
"2025000000218",3,21,4,8,0,0,2,1,58,12740,2,5
"2025000000218",2,9,19,8,0,0,1,1,49,-1,-1,-1
"2025000000218",1,9,4,8,0,0,2,2,26,1598,2,11
"2025000000219",1,9,19,1,0,10,1,1,40,1580,8,6
"2025000000219",2,3,19,6,0,0,0,1,23,125,1,3
"2025000000220",1,9,19,0,0,0,1,1,36,1296,1,18
"2025000000221",1,9,4,0,0,0,1,1,53,998,1,10
"2025000000222",2,9,19,0,0,0,3,3,-1,-1,-1,-1
"2025000000222",1,8,19,0,0,10,4,1,53,2499,2,7
"2025000000223",1,9,11,1,0,0,4,2,49,1461,2,5
"2025000000223",2,9,19,1,0,0,3,1,26,1984,1,3
"2025000000224",1,9,99,9,9,99,2,2,45,1398,1,9
"2025000000224",2,9,99,9,9,99,1,3,-1,1685,2,6
"2025000000225",1,9,99,9,9,99,9,3,-1,1798,8,5
"2025000000226",1,9,19,0,0,0,3,2,25,1596,1,16
"2025000000226",2,1,19,0,0,0,1,1,15,-1,-1,-1
"2025000000227",1,9,13,0,2,0,4,2,21,998,1,12
"2025000000228",2,9,19,1,1,0,3,1,20,1197,1,4
"2025000000228",1,9,9,6,0,0,1,1,75,1984,1,18
"2025000000228",3,9,19,1,0,0,1,2,29,1461,2,3
"2025000000229",2,9,99,9,9,99,1,3,-1,1798,1,13
"2025000000229",1,3,99,9,9,99,2,1,30,125,1,1
"2025000000230",1,9,19,0,0,0,1,2,21,1368,1,12
